id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,Label,,
298,0,192.168.234.130,,,38573,192.168.234.133,,,135,6,4,0,1618585714652,1618585714653,1,10,828,1618585714652,1618585714653,1,6,488,1618585714652,1618585714653,1,4,340,68,82.8,27.3284548491942,140,68,81.3333333333333,28.918275651682,140,68,85,28.9136645896019,128,0,0.111111111111111,0.333333333333333,1,0,0.2,0.447213595499958,1,0,0.333333333333333,0.577350269189626,1,2,0,0,0,9,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,4,1,0,1,DCE_RPC,RPC,0,,,,,,WannaCry,,
320,0,192.168.234.130,,,42897,192.168.234.133,,,445,6,4,0,1618585725366,1618585725404,38,10,4895,1618585725366,1618585725396,30,6,4621,1618585725366,1618585725404,38,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,4.22222222222222,9.28409631813697,28,0,6,12.3085336250912,28,1,12.6666666666667,14.5716619962629,29,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
327,0,192.168.234.130,,,36135,192.168.234.133,,,445,6,4,0,1618585725373,1618585725405,32,10,4895,1618585725373,1618585725396,23,6,4621,1618585725374,1618585725405,31,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,3.55555555555556,7.16085035298028,21,0,4.6,9.18150314491042,21,1,10.3333333333333,10.0664459136943,21,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
334,0,192.168.234.130,,,46411,192.168.234.133,,,445,6,4,0,1618585725377,1618585725406,29,10,4895,1618585725377,1618585725396,19,6,4621,1618585725378,1618585725406,28,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,3.22222222222222,5.9113826169894,17,0,3.8,7.39594483484024,17,1,9.33333333333333,8.50490054811538,18,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
337,0,192.168.234.130,,,37549,192.168.234.133,,,445,6,4,0,1618585725379,1618585725390,11,12,1240,1618585725379,1618585725390,11,7,620,1618585725380,1618585725390,10,5,620,62,103.333333333333,55.4146900991775,215,68,88.5714285714286,33.9796858081273,153,62,124,76.1413159854753,215,0,1,1.73205080756888,6,1,1.83333333333333,2.04124145231931,6,0,2.5,2.64575131106459,6,2,0,0,0,11,4,1,1,1,0,0,0,6,2,0,1,1,0,0,0,5,2,1,0,NetBIOS.SMBv1,System,0,,,,,,WannaCry,,
339,0,192.168.234.130,,,35421,192.168.234.133,,,445,6,4,0,1618585725388,1618585725407,19,10,4895,1618585725388,1618585725396,8,6,4621,1618585725388,1618585725407,19,4,274,62,489.5,943.581268948844,2964,68,770.166666666667,1168.88021912712,2964,62,68.5,5.74456264653803,76,0,2.11111111111111,3.72305131728145,10,0,1.6,3.04959013639538,7,1,6.33333333333333,4.72581562625261,10,2,0,0,0,9,3,1,1,1,0,0,0,5,3,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
412,0,192.168.234.130,,,44875,192.168.234.133,,,445,6,4,0,1618585725367,1618585725404,37,10,4895,1618585725367,1618585725396,29,6,4621,1618585725367,1618585725404,37,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,4.11111111111111,8.9644359059068,27,0,5.8,11.861703081767,27,1,12.3333333333333,14.0118997046558,28,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
415,0,192.168.234.130,,,40929,192.168.234.133,,,445,6,4,0,1618585725368,1618585725405,37,10,4895,1618585725368,1618585725396,28,6,4621,1618585725369,1618585725405,36,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,4.11111111111111,8.70982842030261,26,0,5.6,11.4149025401008,26,1,12,12.7671453348037,26,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
419,0,192.168.234.130,,,40717,192.168.234.133,,,445,6,4,0,1618585725369,1618585725405,36,10,4895,1618585725369,1618585725396,27,6,4621,1618585725370,1618585725405,35,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,4,8.39642781187333,25,0,5.4,10.968135666557,25,1,11.6666666666667,12.2202018532156,25,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
422,0,192.168.234.130,,,35273,192.168.234.133,,,445,6,4,0,1618585725371,1618585725405,34,10,4895,1618585725371,1618585725396,25,6,4621,1618585725372,1618585725405,33,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,3.77777777777778,7.7746025264604,23,0,5,10.0747208398049,23,1,11,11.13552872566,23,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
